A1,A2,A3,A4,A5
Astra,Jett,Raze,Sova,Viper
Astra,Jett,Skye,Sova,Viper
Astra,Killjoy,Raze,Skye,Yoru
Astra,Raze,Sage,Skye,Sova
Astra,Raze,Sage,Sova,Viper
Breach,Brimstone,Chamber,Jett,Sova
Breach,Brimstone,Raze,Sage,Skye
Breach,Brimstone,Raze,Sova,Viper
Breach,Chamber,Neon,Omen,Skye
Breach,Jett,Omen,Raze,Sova
Brimstone,Chamber,Jett,Reyna,Sova
Brimstone,Chamber,Jett,Sage,Skye
Brimstone,Chamber,KAY/O,Sova,Yoru
Brimstone,Chamber,Raze,Viper,Yoru
Brimstone,Chamber,Reyna,Sage,Sova
Brimstone,KAY/O,Raze,Sage,Sova
Brimstone,KAY/O,Raze,Sova,Viper
Brimstone,Killjoy,Raze,Sage,Sova
Chamber,Jett,Omen,Raze,Sova
Brimstone,Fade,Raze,Skye,Viper
Astra,Fade,Raze,Sage,Skye
Breach,Brimstone,Chamber,Raze,Yoru
Breach,Brimstone,Fade,Raze,Yoru
Brimstone,Chamber,Cypher,Raze,Skye
Brimstone,Neon,Skye,Sova,Viper
Chamber,Killjoy,Omen,Raze,Sova
Brimstone,Jett,Raze,Skye,Viper
Brimstone,Fade,Neon,Sage,Skye
Astra,Chamber,Fade,Raze,Skye
Astra,Jett,KAY/O,Killjoy,Sova
Brimstone,Chamber,KAY/O,Raze,Skye
Brimstone,Chamber,Killjoy,Raze,Sova
Brimstone,Fade,Raze,Sage,Skye
Breach,Chamber,Jett,Omen,Raze
Brimstone,Chamber,Fade,Raze,Viper
Brimstone,Fade,Skye,Viper,Yoru
Omen,Raze,Reyna,Sage,Skye
Brimstone,Chamber,Fade,Jett,Raze
Brimstone,Fade,Jett,Raze,Yoru
Astra,Breach,Cypher,Raze,Sova
Brimstone,Chamber,Neon,Skye,Yoru
Breach,Brimstone,Fade,Jett,Raze
Astra,Chamber,Omen,Skye,Viper
Brimstone,Fade,Killjoy,Raze,Skye
Brimstone,Chamber,Fade,Jett,Viper
Astra,Breach,Chamber,Fade,Raze
